"Name","Path","Source","PackageName"
"1527c705-839a-4832-9118-54d4Bd6a0c89","C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy\FilePicker.exe","MSStore","1527c705-839a-4832-9118-54d4Bd6a0c89_10.0.19640.1000_neutral_neutral_cw5n1h2txyewy"
"18184wherewhere.AndroidAppInstaller","C:\Program Files\WindowsApps\18184wherewhere.AndroidAppInstaller_0.1.28.0_x64__4v4sx105x6y4r\createdump.exe","MSStore","18184wherewhere.AndroidAppInstaller_0.1.28.0_x64__4v4sx105x6y4r"
"18184wherewhere.AndroidAppInstaller","C:\Program Files\WindowsApps\18184wherewhere.AndroidAppInstaller_0.1.28.0_x64__4v4sx105x6y4r\Tools\aapt.exe","MSStore","18184wherewhere.AndroidAppInstaller_0.1.28.0_x64__4v4sx105x6y4r"
"19282JackieLiu.Notepads-Beta","C:\Program Files\WindowsApps\19282JackieLiu.Notepads-Beta_1.5.6.0_x64__echhpq9pdbte8\Notepads.exe","MSStore","19282JackieLiu.Notepads-Beta_1.5.6.0_x64__echhpq9pdbte8"
"21090PaddyXu.QuickLook","C:\Program Files\WindowsApps\21090PaddyXu.QuickLook_4.3.0.0_neutral__egxr34yet59cg\Package\QuickLook.exe","MSStore","21090PaddyXu.QuickLook_4.3.0.0_neutral__egxr34yet59cg"
"28944Stefanvd.MyPersonalNotes","C:\Program Files\WindowsApps\28944Stefanvd.MyPersonalNotes_1.3.0.0_x64__pe3vc7q6mjj3e\NoteSidebar\createdump.exe","MSStore","28944Stefanvd.MyPersonalNotes_1.3.0.0_x64__pe3vc7q6mjj3e"
"28944Stefanvd.MyPersonalNotes","C:\Program Files\WindowsApps\28944Stefanvd.MyPersonalNotes_1.3.0.0_x64__pe3vc7q6mjj3e\NoteSidebar\NoteSidebar.exe","MSStore","28944Stefanvd.MyPersonalNotes_1.3.0.0_x64__pe3vc7q6mjj3e"
"36283PeymanMohammadi.InstallerStudio","C:\Program Files\WindowsApps\36283PeymanMohammadi.InstallerStudio_1.1.0.0_x64__z54a3wrft5hp2\createdump.exe","MSStore","36283PeymanMohammadi.InstallerStudio_1.1.0.0_x64__z54a3wrft5hp2"
"40174MouriNaruto.NanaZip","C:\Program Files\WindowsApps\40174MouriNaruto.NanaZip_5.0.1263.0_x64__gnj4mf6z9tkrc\NanaZip.Modern.exe","MSStore","40174MouriNaruto.NanaZip_5.0.1263.0_x64__gnj4mf6z9tkrc"
"49462fluenthub-uwp.FluentHub","C:\Program Files\WindowsApps\49462fluenthub-uwp.FluentHub_0.9.0.0_x64__tq8wa33sfftnm\FluentHub.App\createdump.exe","MSStore","49462fluenthub-uwp.FluentHub_0.9.0.0_x64__tq8wa33sfftnm"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.SystemTray\FluentTerminal.SystemTray.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.App.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.SystemTray\winpty-agent.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.SystemTray\mosh.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.SystemTray\mosh-client.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"53621FSApps.FluentTerminal","C:\Program Files\WindowsApps\53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp\FluentTerminal.SystemTray\winpty-debugserver.exe","MSStore","53621FSApps.FluentTerminal_0.7.7.0_x64__87x1pks76srcp"
"56395Gitii.Winstrumenta.PackageManager","C:\Program Files\WindowsApps\56395Gitii.Winstrumenta.PackageManager_0.6.0.0_x64__qkrp4w1fft63e\PackageInstaller.exe","MSStore","56395Gitii.Winstrumenta.PackageManager_0.6.0.0_x64__qkrp4w1fft63e"
"61545TimGrabinat.wAPPerforGmail","C:\Program Files\WindowsApps\61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca\EasyMail4\EasyMail4CrashRecovery.exe","MSStore","61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca"
"61545TimGrabinat.wAPPerforGmail","C:\Program Files\WindowsApps\61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca\EasyMail4CrashRecovery\EasyMail4CrashRecovery.exe","MSStore","61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca"
"61545TimGrabinat.wAPPerforGmail","C:\Program Files\WindowsApps\61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca\EasyMail4\EasyMail4.exe","MSStore","61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca"
"61545TimGrabinat.wAPPerforGmail","C:\Program Files\WindowsApps\61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca\EasyMail4\createdump.exe","MSStore","61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca"
"61545TimGrabinat.wAPPerforGmail","C:\Program Files\WindowsApps\61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca\EasyMail4CrashRecovery\createdump.exe","MSStore","61545TimGrabinat.wAPPerforGmail_4.0.19.0_x64__rcb0qdgx4z9ca"
"64360VelerSoftware.DevToys-Preview","C:\Program Files\WindowsApps\64360VelerSoftware.DevToys-Preview_2.0.8.0_x64__j80j2txgjg9dj\DevToys.exe","MSStore","64360VelerSoftware.DevToys-Preview_2.0.8.0_x64__j80j2txgjg9dj"
"9426MICRO-STARINTERNATION.MSICenter","C:\Program Files\WindowsApps\9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p\DCv2\DCv2_Startup.exe","MSStore","9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p"
"9426MICRO-STARINTERNATION.MSICenter","C:\Program Files\WindowsApps\9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p\DCv2\MSI Center.exe","MSStore","9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p"
"9426MICRO-STARINTERNATION.MSICenter","C:\Program Files\WindowsApps\9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p\DCv2\Coreliquid\ffmpeg.exe","MSStore","9426MICRO-STARINTERNATION.MSICenter_2.0.63.0_x64__kzh8wxbdkxb8p"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\DuplicateDesktop.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\ZipUtility.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\videotrim.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\uwp\LauncherRSXRuntime.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\twitter\TwitterWrapperClient.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\sinaWeibo\SinaWeiboWrapper.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\RSServCmd.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\restream\RestreamAPIWrapper.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\RadeonSoftware.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\gpuup.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\facebook\FacebookClient.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\EyefinityPro.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\ATISetup.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSServ.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\AMDRSSrcExt.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
"AdvancedMicroDevicesInc-2.AMDRadeonSoftware","C:\Program Files\WindowsApps\AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m\radeonsoftware\AMDIdentifyWindow.exe","MSStore","AdvancedMicroDevicesInc-2.AMDRadeonSoftware_10.24.10035.0_x64__0a9344xs7nr4m"
